title,price,city,district,surface_m2,rooms,bathrooms,floor,construction_year,listing_url,price_per_m2,property_age,floor_group,price_segment,surface_segment,city_district,has_price,has_surface,has_rooms,has_bathrooms,has_floor,has_construction_year,is_ground_floor,is_basement
Appartement à vendre 154 m² à Marrakech,2475000.0,Marrakech,Route De Casablanca,154.0,3.0,3.0,2.0,,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_154_m%C2%B2_%C3%A0_Marrakech_57804075.htm,16071.43,,Low floor,Premium,Very large,Marrakech | Route De Casablanca,1,1,1,1,1,0,0,0
Appartement à vendre 70 m² à Oujda,260000.0,Oujda,Route Jerada,70.0,2.0,1.0,1.0,,https://www.avito.ma/fr/route_jerada/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Oujda_57755446.htm,3714.29,,Low floor,Budget,Medium,Oujda | Route Jerada,1,1,1,1,1,0,0,0
Appartement Neuf de 138 m² à Harhoura,2200000.0,Témara,Harhoura,138.0,2.0,2.0,0.0,,https://www.avito.ma/fr/harhoura/appartements/Appartement_Neuf_de_138_m%C2%B2_%C3%A0_Harhoura_57756712.htm,15942.03,,Ground floor,Premium,Large,Témara | Harhoura,1,1,1,1,1,0,1,0
Appartement RDC 91 m2 à Hay Mohammadi,780000.0,Casablanca,Hay Mohammadi,91.0,4.0,2.0,0.0,,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_RDC_91_m2_%C3%A0_Hay_Mohammadi_57684858.htm,8571.43,,Ground floor,Mid-range,Medium,Casablanca | Hay Mohammadi,1,1,1,1,1,0,1,0
Elégant Studio à vendre 57 m² à Marrakech,1482000.0,Marrakech,Guéliz,57.0,1.0,1.0,5.0,,https://www.avito.ma/fr/gu%C3%A9liz/appartements/El%C3%A9gant_Studio_%C3%A0_vendre_57_m%C2%B2_%C3%A0_Marrakech_57638397.htm,26000.0,,Mid floor,Upper mid-range,Medium,Marrakech | Guéliz,1,1,1,1,1,0,0,0
Studio Neuf Haut Standing aux Princesses,1760000.0,Casablanca,Les Princesses,,1.0,1.0,5.0,,https://www.avito.ma/fr/les_princesses/appartements/Studio_Neuf_Haut_Standing_aux_Princesses_57844693.htm,,,Mid floor,Upper mid-range,Unknown,Casablanca | Les Princesses,1,0,1,1,1,0,0,0
Appartement à vendre – Moulay Youssef,1600000.0,Tanger,Moulay Youssef,,3.0,2.0,7.0,,https://www.avito.ma/fr/moulay_youssef/appartements/Appartement_%C3%A0_vendre___Moulay_Youssef_57844691.htm,,,High floor,Upper mid-range,Unknown,Tanger | Moulay Youssef,1,0,1,1,1,0,0,0
Appartement à vendre 121 m² à Temara,1270000.0,Témara,Autre Secteur,121.0,3.0,2.0,2.0,,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_121_m%C2%B2_%C3%A0_Temara_57725988.htm,10495.87,,Low floor,Upper mid-range,Large,Témara | Autre Secteur,1,1,1,1,1,0,0,0
Appartement 100 m² à Oujda,390000.0,Oujda,Sidi Yahya,100.0,3.0,1.0,2.0,,https://www.avito.ma/fr/sidi_yahya/appartements/Appartement_100_m%C2%B2_%C3%A0_Oujda_54904149.htm,3900.0,,Low floor,Budget,Large,Oujda | Sidi Yahya,1,1,1,1,1,0,0,0
Appart meublé 2ch salon balcon 91m2 à vendre La Gironde,950000.0,Casablanca,La Gironde,91.0,2.0,2.0,5.0,,https://www.avito.ma/fr/la_gironde/appartements/Appart_meubl%C3%A9_2ch_salon_balcon_91m2_%C3%A0_vendre_La_Gironde_57823689.htm,10439.56,,Mid floor,Mid-range,Medium,Casablanca | La Gironde,1,1,1,1,1,0,0,0
Appartement 120 millions,1200000.0,Rabat,Riyad Extension,76.0,2.0,2.0,0.0,,https://www.avito.ma/fr/riyad_extension/appartements/Appartement_120_millions_57807485.htm,15789.47,,Ground floor,Upper mid-range,Medium,Rabat | Riyad Extension,1,1,1,1,1,0,1,0
Appartement à vendre 86 m² à Oujda,380000.0,Oujda,Hay Zitoune,86.0,3.0,1.0,1.0,,https://www.avito.ma/fr/hay_zitoune/appartements/Appartement_%C3%A0_vendre_86_m%C2%B2_%C3%A0_Oujda_54393319.htm,4418.6,,Low floor,Budget,Medium,Oujda | Hay Zitoune,1,1,1,1,1,0,0,0
Appartement 3 chambres à Mimosas Prix imbattable,820000.0,Kénitra,Mimosas,106.0,3.0,2.0,5.0,,https://www.avito.ma/fr/mimosas/appartements/Appartement_3_chambres_%C3%A0_Mimosas_Prix_imbattable_45758846.htm,7735.85,,Mid floor,Mid-range,Large,Kénitra | Mimosas,1,1,1,1,1,0,0,0
Appart HS 3ch sal terse 127m2 à vendre Mers sultan,1400000.0,Casablanca,Mers Sultan,127.0,3.0,2.0,3.0,,https://www.avito.ma/fr/mers_sultan/appartements/Appart_HS_3ch_sal_terse_127m2_%C3%A0_vendre_Mers_sultan_57601103.htm,11023.62,,Mid floor,Upper mid-range,Large,Casablanca | Mers Sultan,1,1,1,1,1,0,0,0
Appartement Neuf Badiae côté école L'esav,850000.0,Marrakech,Allal El Fassi,62.0,2.0,1.0,3.0,,https://www.avito.ma/fr/allal_el_fassi/appartements/Appartement_Neuf_Badiae_c%C3%B4t%C3%A9_%C3%A9cole_L_esav_57639180.htm,13709.68,,Mid floor,Mid-range,Medium,Marrakech | Allal El Fassi,1,1,1,1,1,0,0,0
Appartement de luxe à vendre à Branes 2,1350000.0,Tanger,Branes 2,,2.0,2.0,8.0,,https://www.avito.ma/fr/branes_2/appartements/Appartement_de_luxe_%C3%A0_vendre_%C3%A0_Branes_2_57496734.htm,,,High floor,Upper mid-range,Unknown,Tanger | Branes 2,1,0,1,1,1,0,0,0
Appartement à vendre à Casablanca Arrahma,580000.0,Casablanca,Errahma,67.0,2.0,2.0,1.0,,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_%C3%A0_Casablanca_Arrahma_57707716.htm,8656.72,,Low floor,Mid-range,Medium,Casablanca | Errahma,1,1,1,1,1,0,0,0
Appt à ne pas rater,590000.0,Fès,Route Ain Chkaf,100.0,2.0,1.0,2.0,,https://www.avito.ma/fr/route_ain_chkaf/appartements/Appt_%C3%A0_ne_pas_rater_57132071.htm,5900.0,,Low floor,Mid-range,Large,Fès | Route Ain Chkaf,1,1,1,1,1,0,0,0
