listing_url,price,city,district,surface_m2,rooms,bathrooms,floor,construction_year,price_per_m2,property_age,has_price,has_surface,has_rooms,has_bathrooms,has_floor,has_construction_year,is_ground_floor,is_basement
https://www.avito.ma/fr/allal_el_fassi/appartements/Appartement_Neuf_Badiae_c%C3%B4t%C3%A9_%C3%A9cole_L_esav_57639180.htm,850000.0,Marrakech,Allal El Fassi,62.0,2.0,1.0,3.0,,13709.68,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/branes_2/appartements/Appartement_de_luxe_%C3%A0_vendre_%C3%A0_Branes_2_57496734.htm,1350000.0,Tanger,Branes 2,,2.0,2.0,8.0,,,,1,0,1,1,1,0,0,0
https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_%C3%A0_Casablanca_Arrahma_57707716.htm,580000.0,Casablanca,Errahma,67.0,2.0,2.0,1.0,,8656.72,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/route_ain_chkaf/appartements/Appt_%C3%A0_ne_pas_rater_57132071.htm,590000.0,Fès,Route Ain Chkaf,100.0,2.0,1.0,2.0,,5900.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/andalous/appartements/Appartement_%C3%A0_vendre_105_m%C2%B2_El_Andalous_57755402.htm,370000.0,Oujda,Andalous,105.0,2.0,2.0,0.0,,3523.81,,1,1,1,1,1,0,1,0
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_%C3%A0_Temara_57812272.htm,1200000.0,Rabat,Autre Secteur,107.0,3.0,2.0,2.0,,11214.95,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/hay_izdihar/appartements/Appartement_meubl%C3%A9_%C3%A0_vendre_Hay_Azdihar_57758375.htm,560000.0,Marrakech,Hay Izdihar,60.0,2.0,1.0,3.0,,9333.33,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_100%C2%B2m_%C3%A0_Oujda_54393399.htm,380000.0,Oujda,Autre Secteur,,4.0,1.0,1.0,,,,1,0,1,1,1,0,0,0
https://www.avito.ma/fr/la_nouvelle_ville_ibn_battouta/appartements/Appartement_%C3%A0_vendre_57016777.htm,459000.0,Tanger,La Nouvelle Ville Ibn Battouta,65.0,3.0,2.0,4.0,,7061.54,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/mdiq/appartements/Appartement_%C3%A0_vendre_65_m_Mdiq_4_min_%C3%A0_pied_plage_57822237.htm,480000.0,M'Diq,Toute la ville,60.0,2.0,1.0,1.0,,8000.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/sidi_bouknadel/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_plage_des_nations_56055121.htm,1850000.0,Sidi Bouknadel,Toute la ville,130.0,2.0,2.0,0.0,,14230.77,,1,1,1,1,1,0,1,0
https://www.avito.ma/fr/tamaris/appartements/Appartement_%C3%A0_vendre_au_1er_%C3%A9tage_%C3%A0_Tamaris_Aqua_parc_51522778.htm,360000.0,Tamaris,Toute la ville,,2.0,1.0,1.0,,,,1,0,1,1,1,0,0,0
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_T%C3%A9touan_57616531.htm,1245000.0,Tétouan,Autre Secteur,110.0,3.0,2.0,5.0,,11318.18,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/val_fleuri/appartements/Appt_3_ch_salon_%C3%A0_vendre_%C3%A0_Val_Fleuri_56660584.htm,1800000.0,Casablanca,Val Fleuri,126.0,3.0,2.0,2.0,,14285.71,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/sidi_rahal/appartements/Appartement_%C3%A0_vendre_63_m%C2%B2_%C3%A0_Sidi_Rahal_57776726.htm,480000.0,Sidi Rahal,Toute la ville,63.0,2.0,1.0,1.0,,7619.05,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/victor_hugo/appartements/Spacieux_appartement_%C3%A0_vendre_meubl%C3%A9_57711710.htm,1350000.0,Marrakech,Victor Hugo,54.0,1.0,1.0,4.0,,25000.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/nassim/appartements/Appartement_%C3%A0_vendre_pas_de_semsar_57773761.htm,600000.0,Mohammedia,Nassim,70.0,2.0,1.0,1.0,,8571.43,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Oujda_54393862.htm,460000.0,Oujda,Centre Ville,80.0,2.0,1.0,1.0,,5750.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/hay_zitoune/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Oujda_54904183.htm,460000.0,Oujda,Hay Zitoune,100.0,3.0,2.0,1.0,,4600.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/2_mars/appartements/Appart_3ch_2sa_blc_150m2_%C3%A0_vendre_2Mars_56889308.htm,2200000.0,Casablanca,2 Mars,150.0,3.0,2.0,5.0,,14666.67,,1,1,1,1,1,0,0,0
